timestamp,user_id,question,model_answer,ground_truth,prediction,gender,age,device,days_as_customer
2024-01-11 13:28:00,user_184,How do I apply for a business loan?,Business loan applications can be submitted online through our website.,1,1,F,22,smartphone,216
2024-01-10 15:03:00,user_16,How can I close my account?,You can close your account by visiting our nearest branch.,1,1,F,34,tablet,228
2024-01-10 03:09:00,user_27,What are the benefits of a premium account?,The benefits of a premium account include higher interest rates and exclusive customer support.,1,1,M,42,smartphone,178
2024-01-10 06:07:00,user_199,What is the interest rate for a personal loan?,The interest rate for a personal loan is 6.5% per annum.,1,1,M,51,tablet,77
2024-01-10 05:29:00,user_250,What is the best way to prepare for a job interview?,"The best way to prepare for a job interview is to research the company, practice common interview questions, and dress professionally.",0,0,M,35,pc,130
2024-01-10 09:17:00,user_215,How do I book a flight to Paris?,You can book a flight to Paris by calling our support center.,0,0,M,32,smartphone,176
2024-01-10 15:22:00,user_247,How do I change a flat tire?,"You can change a flat tire by following these steps: (1) Loosen the lug nuts, (2) Lift the vehicle with a jack, (3) Remove the lug nuts and old tire, (4) Mount the spare tire, and (5) Tighten the lug nuts.",0,0,M,42,smartphone,243
2024-01-10 10:22:00,user_13,How do I contact customer support?,You can contact customer support by calling 1-800-123-4567.,1,1,M,45,smartphone,184
2024-01-10 09:40:00,user_148,What are the steps to close my account?,"To close your account, you need to visit the nearest branch with a valid ID.",1,1,M,25,pc,306
2024-01-10 02:09:00,user_109,How do I redeem my reward points?,Reward points can be redeemed through our online rewards portal.,1,1,M,47,smartphone,74
2024-01-10 12:52:00,user_228,What is the capital of Brazil?,The capital of Brazil is Rio de Janeiro.,0,0,F,46,smartphone,210
2024-01-11 08:13:00,user_24,What documents do I need to open a business account?,"You need a valid ID, proof of address, and business registration documents.",1,1,M,52,tablet,21
2024-01-11 14:48:00,user_246,What are the benefits of yoga?,"The benefits of yoga include improved flexibility, strength, and stress relief.",0,0,M,33,pc,141
2024-01-10 18:01:00,user_130,Can I change my account type from savings to checking?,"Yes, you can change your account type by visiting our branch.",1,1,M,41,smartphone,234
2024-01-11 08:21:00,user_82,How can I activate mobile banking?,You can activate mobile banking by downloading our app and registering your account.,1,1,M,18,smartphone,271
2024-01-11 15:00:00,user_161,Are there any rewards for using my debit card?,Debit card usage does not earn rewards points.,1,1,M,29,smartphone,277
2024-01-10 12:42:00,user_165,What is the overdraft fee for checking accounts?,The overdraft fee for checking accounts is $35 per transaction.,1,1,F,53,smartphone,83
2024-01-10 06:59:00,user_116,What is the fee for a wire transfer?,Wire transfers are free of charge.,1,1,M,50,smartphone,157
2024-01-11 00:57:00,user_54,Can I set up automatic bill payments?,"Yes, you can set up automatic bill payments through our online banking system.",1,1,M,55,pc,39
2024-01-10 04:23:00,user_103,Can I set up direct deposit?,Direct deposit setup is not available.,1,1,M,28,tablet,273
2024-01-10 05:43:00,user_15,What is the daily withdrawal limit?,The daily withdrawal limit is $500.,1,1,M,23,smartphone,303
2024-01-10 06:00:00,user_196,Can I get a copy of my bank statement mailed to me?,"Yes, you can request a copy of your bank statement to be mailed to your address.",1,1,M,49,smartphone,75
2024-01-10 03:01:00,user_151,Are there any benefits to using online banking?,"Yes, online banking offers benefits such as convenience and 24/7 access.",1,1,M,42,smartphone,57
2024-01-10 04:03:00,user_248,What is the history of the Great Wall of China?,The Great Wall of China was built over several centuries by different Chinese dynasties to protect against invasions from nomadic tribes.,0,0,M,51,smartphone,114
2024-01-11 17:08:00,user_31,What types of credit cards do you offer?,"We offer a variety of credit cards including cashback, rewards, and travel cards.",1,1,M,27,smartphone,302
2024-01-10 23:32:00,user_30,What is the process to dispute a fraudulent transaction?,You can dispute a fraudulent transaction by calling our fraud helpline or submitting a form online.,1,1,M,27,pc,242
2024-01-10 16:57:00,user_3,How can I apply for a loan?,You can apply for a loan by visiting our nearest branch.,1,1,M,53,smartphone,270
2024-01-11 15:27:00,user_144,Are there any fees for using mobile banking?,Using mobile banking is free of charge.,1,1,F,47,smartphone,196
2024-01-10 09:51:00,user_44,Can I get a personal loan without collateral?,All personal loans require collateral.,1,1,F,43,smartphone,309
